id,flightNumber,latitude,fit,longitude,originLatitude,originLongitude,destinationLatitude,destinationLongitude,departure,arrival,scheduledArrival,airline,originCountry,destinationCountry,originWeather,destinationWeather,distance,period,month,day,late_arrival
2d5e1d08,DAL234,32.06,1175,34.93,40.639751,-73.7789,32.011379,34.886662,2022-09-07T00:14:34-04:00,2022-09-07T17:29:26+03:00,2022-09-07T17:35:00+03:00,DL,US,ISR,Haze,Clouds,,regular,9,4,ok
2d5e1d08,DAL234,32.03,550,34.91,40.639751,-73.7789,32.011379,34.886662,2022-09-07T00:14:34-04:00,2022-09-07T17:29:26+03:00,2022-09-07T17:35:00+03:00,DL,US,ISR,Haze,Clouds,,regular,9,4,ok
2d5ec801,TVF29WM,32.32,7700,34.61,48.723331,2.379444,32.011379,34.886662,2022-09-07T12:36:09+02:00,2022-09-07T17:36:16+03:00,2022-09-07T17:25:00+03:00,HV,FRA,ISR,Clouds,Clouds,,regular,9,4,ok
2d5edd40,ELY348,32.27,5600,34.77,47.464722,8.549167,32.011379,34.886662,2022-09-07T13:17:30+02:00,2022-09-07T17:40:06+03:00,2022-09-07T17:25:00+03:00,LY,CH,ISR,Clear,Clouds,,regular,9,4,late
2d5f6ba5,AIZ821,30.29,16125,35.09,32.011379,34.886662,29.723694,35.011417,2022-09-07T17:08:25+03:00,2022-09-07T17:43:12+03:00,,IZ,ISR,ISR,Clouds,Clear,,regular,9,4,heavy late
2d5ee9d9,MOCOM,32.24,4725,34.86,52.165749,20.967119,32.011379,34.886662,2022-09-07T13:29:37+02:00,2022-09-07T17:43:46+03:00,2022-09-07T17:40:00+03:00,,POL,ISR,Clear,Clouds,,regular,9,4,ok
2d5ed6ac,ELY338,32.34,7200,34.55,52.308609,4.763889,32.011379,34.886662,2022-09-07T13:07:33+02:00,2022-09-07T17:50:56+03:00,2022-09-07T18:00:00+03:00,LY,NL,ISR,Clouds,Clouds,,regular,9,4,ok
2d5f3985,ELY544,32.24,4725,34.84,37.936352,23.94446,32.011379,34.886662,2022-09-07T16:23:28+03:00,2022-09-07T17:54:36+03:00,2022-09-07T18:05:00+03:00,LY,GR,ISR,Clouds,Clouds,,regular,9,4,ok
2d5efd61,UAE931,32.09,6075,34.92,25.252769,55.364441,32.011379,34.886662,2022-09-07T16:15:23+04:00,2022-09-07T17:57:16+03:00,2022-09-07T18:00:00+03:00,EK,AE,ISR,Clear,Clouds,,regular,9,4,ok
2d5f082b,IFA1345,32.26,3975,34.83,24.43297,54.651131,32.011379,34.886662,2022-09-07T16:11:48+04:00,2022-09-07T17:57:26+03:00,2022-09-07T18:10:00+03:00,,ARE,ISR,Clear,Clouds,,regular,9,4,ok
2d5f80f8,RJA344,32,0,34.89,31.722549,35.99321,32.011379,34.886662,2022-09-07T17:40:14+03:00,2022-09-07T18:05:38+03:00,2022-09-07T18:15:00+03:00,RJ,JOR,ISR,Clear,Clouds,,regular,9,4,ok
2d5efe0b,RYR2210,32.23,4375,34.88,45.648399,12.19442,32.011379,34.886662,2022-09-07T14:04:33+02:00,2022-09-07T18:06:26+03:00,2022-09-07T17:55:00+03:00,FR,ITA,ISR,Clouds,Clouds,,regular,9,4,ok
2d5f6e80,CYP110,32.25,5125,34.81,34.875111,33.624851,32.011379,34.886662,2022-09-07T17:30:16+03:00,2022-09-07T18:09:26+03:00,2022-09-07T18:20:00+03:00,CY,CYP,ISR,Clouds,Clouds,,regular,9,4,ok
2d5eb862,EJU37PG,32.17,3250,34.94,49.012516,2.555752,32.011379,34.886662,2022-09-07T13:10:52+02:00,2022-09-07T18:13:16+03:00,2022-09-07T18:15:00+03:00,U2,FR,ISR,Clouds,Clouds,,regular,9,4,ok
2d5edeb7,NJE250L,32.23,3650,34.88,25.252769,55.364441,32.011379,34.886662,2022-09-07T15:22:58+04:00,2022-09-07T18:15:06+03:00,2022-09-07T17:11:00+03:00,,AE,ISR,Clear,Clouds,,regular,9,4,heavy late
2d5ec153,EZY3AV,32.01,250,34.89,53.353741,-2.27495,32.011379,34.886662,2022-09-07T11:51:08+01:00,2022-09-07T18:27:11+03:00,2022-09-07T18:00:00+03:00,U2,GBR,ISR,Clouds,Clouds,,regular,9,4,late
2d5f57c4,AIZ122,32.05,950,34.92,37.43512,25.348101,32.011379,34.886662,2022-09-07T17:03:55+03:00,2022-09-07T18:29:36+03:00,,IZ,GRC,ISR,Clear,Clouds,,regular,9,4,heavy late
2d5f1bad,WZZ2811,32.36,7200,34.51,48.110271,16.569719,32.011379,34.886662,2022-09-07T14:50:34+02:00,2022-09-07T18:41:36+03:00,2022-09-07T19:00:00+03:00,W6,AT,ISR,Clouds,Clouds,,regular,9,4,late
2d61606b,WZZ3479,32.02,500,34.85,46.785091,23.68611,32.011379,34.886662,2022-09-08T05:44:08+03:00,2022-09-08T08:06:26+03:00,2022-09-08T08:35:00+03:00,W6,ROU,ISR,Fog,Clouds,,regular,9,5,late
2d616b66,WZZ4427,32.05,1575,34.79,42.69519,23.40616,32.011379,34.886662,2022-09-08T06:11:16+03:00,2022-09-08T08:11:38+03:00,2022-09-08T08:25:00+03:00,W6,BGR,ISR,Clear,Clouds,,regular,9,5,ok
2d6190c9,AIZ803,29.72,0,35.01,32.011379,34.886662,29.723694,35.011417,2022-09-08T07:42:40+03:00,2022-09-08T08:13:38+03:00,,IZ,ISR,ISR,Clouds,Clear,,regular,9,5,heavy late
2d6138e3,MLD547,32.02,525,34.85,46.927738,28.930969,32.011379,34.886662,2022-09-08T05:59:45+03:00,2022-09-08T08:17:19+03:00,2022-09-08T08:05:00+03:00,9U,MDA,ISR,Clear,Clouds,,regular,9,5,ok
2d619819,AIZ078,34.87,0,33.61,36.405411,28.086189,32.011379,34.886662,2022-09-08T07:51:28+03:00,2022-09-08T08:43:58+03:00,,U8,GRC,ISR,Clear,Clouds,,regular,9,5,heavy late
2d6173aa,WZZ3257,32.25,5100,34.82,44.572159,26.102171,32.011379,34.886662,2022-09-08T06:42:17+03:00,2022-09-08T08:48:06+03:00,2022-09-08T08:35:00+03:00,W6,ROU,ISR,Clear,Clouds,,regular,9,5,ok
2d617369,TGZ695,32.3,5825,34.67,41.669159,44.95472,32.011379,34.886662,2022-09-08T07:28:36+04:00,2022-09-08T08:50:36+03:00,2022-09-08T08:40:00+03:00,A9,GEO,ISR,Clear,Clouds,,regular,9,5,ok
2d618bc8,THY3ZU,32.45,10150,34.25,41.267052,28.729757,32.011379,34.886662,2022-09-08T07:21:34+03:00,2022-09-08T08:53:36+03:00,2022-09-08T08:55:00+03:00,TK,TR,ISR,Clear,Clouds,,regular,9,5,ok
2d619295,ISR042,32.17,3475,35,29.723694,35.011417,32.011379,34.886662,2022-09-08T08:19:02+03:00,2022-09-08T08:58:46+03:00,2022-09-08T09:15:00+03:00,6H,ISR,ISR,Clear,Clouds,,regular,9,5,late
2d614e6c,BCS994,32.1,2100,34.95,50.901379,4.484444,32.011379,34.886662,2022-09-08T04:08:33+02:00,2022-09-08T09:01:26+03:00,2022-09-08T09:00:00+03:00,D0,BEL,ISR,Clouds,Clouds,,regular,9,5,ok
2d616e53,WZZ2325,32.2,3475,34.99,47.436932,19.25559,32.011379,34.886662,2022-09-08T05:18:39+02:00,2022-09-08T09:03:36+03:00,2022-09-08T09:15:00+03:00,W6,HUN,ISR,Clear,Clouds,,regular,9,5,ok
2d61285d,UZB301,32.05,950,34.92,41.257858,69.281181,32.011379,34.886662,2022-09-08T05:57:56+05:00,2022-09-08T09:07:16+03:00,2022-09-08T08:35:00+03:00,HY,UZB,ISR,Clear,Clouds,,regular,9,5,late
2d61285d,UZB301,32.01,175,34.89,41.257858,69.281181,32.011379,34.886662,2022-09-08T05:57:56+05:00,2022-09-08T09:07:26+03:00,2022-09-08T08:35:00+03:00,HY,UZB,ISR,Clear,Clouds,,regular,9,5,late
2d61a019,CYF106,32.14,2675,34.98,34.875111,33.624851,32.011379,34.886662,2022-09-08T08:29:03+03:00,2022-09-08T09:08:46+03:00,2022-09-08T09:15:00+03:00,U8,CYP,ISR,Clear,Clouds,,regular,9,5,ok
2d617a1b,WZZ3689,32.25,4950,34.82,47.17849,27.62063,32.011379,34.886662,2022-09-08T06:49:52+03:00,2022-09-08T09:11:36+03:00,2022-09-08T09:25:00+03:00,W6,ROU,ISR,Clear,Clouds,,regular,9,5,ok
2d61ac08,AIZ804,32.02,200,34.9,29.723694,35.011417,32.011379,34.886662,2022-09-08T08:46:09+03:00,2022-09-08T09:17:33+03:00,,IZ,ISR,ISR,Clear,Clouds,,regular,9,5,heavy late
2d61ac08,AIZ804,32.01,200,34.89,29.723694,35.011417,32.011379,34.886662,2022-09-08T08:46:09+03:00,2022-09-08T09:17:33+03:00,,IZ,ISR,ISR,Clear,Clouds,,regular,9,5,heavy late
2d61ac08,AIZ804,32,0,34.89,29.723694,35.011417,32.011379,34.886662,2022-09-08T08:46:09+03:00,2022-09-08T09:17:33+03:00,,IZ,ISR,ISR,Clear,Clouds,,regular,9,5,heavy late
2d61ac08,AIZ804,32,0,34.89,29.723694,35.011417,32.011379,34.886662,2022-09-08T08:46:09+03:00,2022-09-08T09:17:33+03:00,,IZ,ISR,ISR,Clear,Clouds,,regular,9,5,heavy late
2d6197e3,PGT791,32.13,2575,34.97,36.898731,30.800461,32.011379,34.886662,2022-09-08T08:10:22+03:00,2022-09-08T09:20:56+03:00,2022-09-08T09:05:00+03:00,PC,TR,ISR,Clear,Clouds,,regular,9,5,late
2d6197e3,PGT791,32.02,325,34.9,36.898731,30.800461,32.011379,34.886662,2022-09-08T08:10:22+03:00,2022-09-08T09:20:56+03:00,2022-09-08T09:05:00+03:00,PC,TR,ISR,Clear,Clouds,,regular,9,5,late
2d6197e3,PGT791,32.01,0,34.89,36.898731,30.800461,32.011379,34.886662,2022-09-08T08:10:22+03:00,2022-09-08T09:20:56+03:00,2022-09-08T09:05:00+03:00,PC,TR,ISR,Clear,Clouds,,regular,9,5,late
2d6197e3,PGT791,32.01,175,34.9,36.898731,30.800461,32.011379,34.886662,2022-09-08T08:10:22+03:00,2022-09-08T09:20:56+03:00,2022-09-08T09:05:00+03:00,PC,TR,ISR,Clear,Clouds,,regular,9,5,late
2d619500,AEE926,32.01,0,34.9,37.936352,23.94446,32.011379,34.886662,2022-09-08T07:51:14+03:00,2022-09-08T09:23:31+03:00,2022-09-08T09:25:00+03:00,A3,GR,ISR,Clear,Clouds,,regular,9,5,ok
2d616ff6,FDB1549,32.2,3400,34.99,25.252769,55.364441,32.011379,34.886662,2022-09-08T07:29:29+04:00,2022-09-08T09:24:07+03:00,2022-09-08T09:35:00+03:00,FZ,AE,ISR,Clear,Clouds,,regular,9,5,ok
2d619500,AEE926,32.08,1625,34.94,37.936352,23.94446,32.011379,34.886662,2022-09-08T07:51:14+03:00,2022-09-08T09:24:03+03:00,2022-09-08T09:25:00+03:00,A3,GR,ISR,Clear,Clouds,,regular,9,5,ok
2d61a7cc,AIZ2821,29.71,475,35.01,32.011379,34.886662,29.723694,35.011417,2022-09-08T08:49:42+03:00,2022-09-08T09:31:06+03:00,,IZ,ISR,ISR,Clouds,Clear,,regular,9,5,heavy late
2d61850d,AEE548,32.06,1050,34.93,40.519718,22.970949,32.011379,34.886662,2022-09-08T07:45:29+03:00,2022-09-08T09:32:28+03:00,2022-09-08T09:45:00+03:00,A3,GRC,ISR,Clear,Clouds,,regular,9,5,ok
2d61657b,BCS1VR,32.01,200,34.9,51.432442,12.24163,32.011379,34.886662,2022-09-08T05:04:07+02:00,2022-09-08T09:42:20+03:00,2022-09-08T09:43:00+03:00,D0,DEU,ISR,Drizzle,Clouds,,regular,9,5,ok
2d60a069,CSC3779,32.1,2100,34.96,30.57852,103.946999,32.011379,34.886662,2022-09-08T05:00:47+08:00,2022-09-08T09:43:56+03:00,2022-09-08T10:15:00+03:00,3U,CHN,ISR,Clouds,Clouds,,regular,9,5,late
2d609a99,UAL84,32.01,200,34.89,40.692501,-74.168602,32.011379,34.886662,2022-09-07T17:06:21-04:00,2022-09-08T09:48:49+03:00,2022-09-08T09:55:00+03:00,UA,US,ISR,Clouds,Clouds,,regular,9,5,ok
2d61afe2,AIZ074,32.23,4075,34.89,36.405411,28.086189,32.011379,34.886662,2022-09-08T08:50:47+03:00,2022-09-08T09:56:46+03:00,,IZ,GRC,ISR,Clear,Clouds,,regular,9,5,heavy late
2d61a1e2,SXS206,32.21,3750,34.95,36.898731,30.800461,32.011379,34.886662,2022-09-08T08:49:53+03:00,2022-09-08T10:02:06+03:00,2022-09-08T09:55:00+03:00,XQ,TR,ISR,Clear,Clouds,,regular,9,5,ok
2d61a82a,WZZ2680,32.23,4375,34.9,37.43512,25.348101,32.011379,34.886662,2022-09-08T08:40:23+03:00,2022-09-08T10:05:56+03:00,2022-09-08T10:25:00+03:00,W6,GRC,ISR,Clear,Clouds,,regular,9,5,late
2d619d1d,PGT77Z,32.12,2300,34.96,40.898548,29.30921,32.011379,34.886662,2022-09-08T08:35:22+03:00,2022-09-08T10:09:56+03:00,2022-09-08T10:10:00+03:00,PC,TUR,ISR,Clear,Clouds,,regular,9,5,ok
2d6185c7,LOT159,32.35,7375,34.53,50.077728,19.78483,32.011379,34.886662,2022-09-08T06:20:43+02:00,2022-09-08T10:14:26+03:00,2022-09-08T10:15:00+03:00,LO,POL,ISR,Clear,Clouds,,regular,9,5,ok
2d60969b,ACA80,32.2,3500,34.98,43.680634,-79.627007,32.011379,34.886662,2022-09-07T17:02:08-04:00,2022-09-08T10:19:26+03:00,2022-09-08T10:00:00+03:00,AC,CA,ISR,Clear,Clouds,,regular,9,5,late
2d619e50,TCDIO,32,0,34.89,40.976921,28.8146,32.011379,34.886662,2022-09-08T08:44:46+03:00,2022-09-08T10:25:54+03:00,,,TUR,ISR,Clear,Clouds,,regular,9,5,heavy late
2d61a6fd,THY51S,32.41,10400,34.19,36.898731,30.800461,32.011379,34.886662,2022-09-08T09:20:30+03:00,2022-09-08T10:28:06+03:00,2022-09-08T10:20:00+03:00,,TR,ISR,Clear,Clouds,,regular,9,5,ok
2d619e50,TCDIO,32,0,34.89,40.976921,28.8146,32.011379,34.886662,2022-09-08T08:44:46+03:00,2022-09-08T10:25:54+03:00,,,TUR,ISR,Clear,Clouds,,regular,9,5,heavy late
2d61c3b3,ELY2434,32.19,3575,34.99,34.875111,33.624851,32.011379,34.886662,2022-09-08T09:52:33+03:00,2022-09-08T10:32:36+03:00,2022-09-08T10:35:00+03:00,LY,CYP,ISR,Clear,Clouds,,regular,9,5,ok
2d61cc94,AIZ2822,32.13,4900,35.13,29.723694,35.011417,32.011379,34.886662,2022-09-08T10:05:53+03:00,2022-09-08T10:37:56+03:00,,IZ,ISR,ISR,Clear,Clouds,,regular,9,5,heavy late
2d60b893,ELY002,32.13,2625,34.97,40.639751,-73.7789,32.011379,34.886662,2022-09-07T17:53:55-04:00,2022-09-08T10:43:26+03:00,2022-09-08T11:00:00+03:00,LY,US,ISR,Clouds,Clouds,,regular,9,5,late
