flight_number,month,org_country,dst_country,company,type_flight,org_weather,dst_weather,late_arrival
6151,8,Jakarta,Makassar,lion air,,Clouds,Clouds,ok
1399,8,NaN,Makassar,Wings Air (Indonesia),,Clouds,Clouds,late
8794,8,Shanghai,Shanghai,Shenzhen Airlines,,Clouds,Clouds,ok
9094,8,Shanghai,Shanghai,shenzhen airlines,,Clouds,Clouds,ok
9794,8,Shanghai,Shanghai,shenzhen airlines,,Clouds,Clouds,ok
5060,8,Shanghai,Shanghai,shenzhen airlines,,Clouds,Clouds,ok
3464,8,Shanghai,Shanghai,shenzhen airlines,,Clouds,Clouds,ok
4064,8,Shanghai,Shanghai,shenzhen airlines,,Clouds,Clouds,ok
7213,8,Shanghai,Shanghai,chengdu airlines,,Clouds,Clouds,late
63,8,NaN,Dubai,Mahan Air,,Clouds,Clouds,ok
8542,8,Auckland,Auckland,air new zealand,,Clouds,Clouds,ok
4519,8,Auckland,Auckland,air new zealand,,Clouds,Clouds,ok
3229,8,Auckland,Auckland,air new zealand,,Clouds,Clouds,ok
8509,8,Kuala_Lumpur,Singapore,scoot,,Clouds,Clouds,late
5611,8,Kuala_Lumpur,Singapore,malaysia airlines,,Clouds,Clouds,ok
6624,8,Kuala_Lumpur,Singapore,malaysia airlines,,Clouds,Clouds,ok
7331,8,Kuala_Lumpur,Singapore,malaysia airlines,,Clouds,Clouds,ok
9513,8,Kuala_Lumpur,Singapore,malaysia airlines,,Clouds,Clouds,ok
5611,8,Kuala_Lumpur,Singapore,malaysia airlines,,Clouds,Clouds,ok
240,8,Auckland,Auckland,Jetstar,,Clouds,Clouds,ok
5526,8,Auckland,Auckland,jetstar,,Clouds,Clouds,ok
7530,8,Auckland,Auckland,jetstar,,Clouds,Clouds,ok
4968,8,Auckland,Auckland,jetstar,,Clouds,Clouds,ok
3932,8,Rome,Paris,easyJet,,Clouds,Clouds,ok
418,8,Rome,Berlin,Hibernian Airlines,,Clouds,Clouds,ok
6208,8,Shanghai,Shanghai,China Eastern Airlines,,Clouds,Clouds,late
593,8,Tokyo,Tokyo,JAL,,Clouds,Clouds,ok
67,8,Tokyo,Tokyo,ANA,,Clouds,Clouds,ok
5716,8,Auckland,Auckland,Air New Zealand,,Clouds,Clouds,ok
3713,8,Madrid,Madrid,Vueling,,Clouds,Clouds,ok
3700,8,Madrid,Madrid,vueling,,Clouds,Clouds,ok
5816,8,Madrid,Madrid,vueling,,Clouds,Clouds,ok
5487,8,Madrid,Madrid,vueling,,Clouds,Clouds,ok
1261,8,Tokyo,Tokyo,ANA,,Clouds,Clouds,ok
1523,8,Istanbul,Berlin,Turkish Airlines,,Clouds,Clouds,ok
5523,8,Istanbul,Berlin,turkish airlines,,Clouds,Clouds,ok
4315,8,Istanbul,Berlin,turkish airlines,,Clouds,Clouds,ok
917,8,Kolkata,Kolkata,IndiGo,,Clouds,Clouds,ok
3006,8,Bangkok,Bangkok,AirAsia,,Clouds,Clouds,late
5013,8,Kolkata,Kolkata,IndiGo,,Clouds,Clouds,ok
3271,8,Shanghai,Shanghai,china eastern airlines,,Clouds,Clouds,late
8231,8,Shanghai,Shanghai,xiamen airlines,,Clouds,Clouds,ok
8175,8,Shanghai,Shanghai,xiamen airlines,,Clouds,Clouds,ok
3177,8,Shanghai,Shanghai,xiamen airlines,,Clouds,Clouds,ok
9739,8,Shanghai,Shanghai,shenzhen airlines,,Clouds,Clouds,ok
9739,8,Shanghai,Shanghai,shenzhen airlines,,Clouds,Clouds,ok
3681,8,Shanghai,Shanghai,shenzhen airlines,,Clouds,Clouds,ok
2127,8,Paris,Paris,Volotea,,Clouds,Clouds,ok
4954,8,Tokyo,Tokyo,ana,,Clouds,Clouds,ok
5142,8,Istanbul,Budapest,turkish airlines,,Clouds,Clouds,ok
508,8,Tokyo,Tokyo,ANA,,Clouds,Clouds,late
7063,8,Melbourne,Perth,qantas,,Clouds,Clouds,ok
5485,8,Melbourne,Perth,qantas,,Clouds,Clouds,ok
9903,8,NaN,Shanghai,Lucky Air,,Clouds,Clouds,ok
5024,8,Auckland,Auckland,Air New Zealand,,Clouds,Clouds,ok
4399,8,Auckland,Auckland,air new zealand,,Clouds,Clouds,ok
5946,8,Auckland,Auckland,air new zealand,,Clouds,Clouds,ok
1165,8,Berlin,Zurich,SWISS,,Clouds,Clouds,ok
2925,8,Berlin,Zurich,swiss,,Clouds,Clouds,ok
5824,8,Berlin,Zurich,swiss,,Clouds,Clouds,ok
6842,8,Berlin,Zurich,swiss,,Clouds,Clouds,ok
2814,8,London,Berlin,Ryanair,,Clouds,Clouds,ok
5172,8,London,Copenhagen,Ryanair,,Clouds,Clouds,ok
893,8,Dublin,London,Ryanair,,Clouds,Clouds,ok
1041,8,Vientiane,Bangkok,AirAsia,,Clouds,Clouds,ok
298,8,Tokyo,Tokyo,ANA,,Clouds,Clouds,ok
5215,8,Shanghai,Shanghai,China Eastern Airlines,,Clouds,Clouds,late
6211,8,Shanghai,Shanghai,China Southern Airlines,,Clouds,Clouds,late
187,8,Bahrain,Riyadh,Gulf Air,,Clouds,Clouds,ok
5585,8,Bahrain,Riyadh,gulf air,,Clouds,Clouds,ok
1361,8,Jersey,London,British Airways,,Clouds,Clouds,ok
734,8,Johannesburg,Johannesburg,South African Airlink,,Clouds,Clouds,ok
4019,8,Johannesburg,Johannesburg,south african airlink,,Clouds,Clouds,ok
1881,8,Riyadh,Riyadh,Saudia,,Clouds,Clouds,ok
2691,8,Kuala_Lumpur,Kuching,malaysia airlines,,Clouds,Clouds,ok
8925,8,Kuala_Lumpur,Kuching,malaysia airlines,,Clouds,Clouds,ok
5249,8,Kuala_Lumpur,Kuching,malaysia airlines,,Clouds,Clouds,ok
5416,8,Kuala_Lumpur,Kuching,malaysia airlines,,Clouds,Clouds,ok
3524,8,Kuala_Lumpur,Kuching,malaysia airlines,,Clouds,Clouds,ok
3386,8,Kuala_Lumpur,Kuching,malaysia airlines,,Clouds,Clouds,ok
7540,8,Kuala_Lumpur,Kuching,malaysia airlines,,Clouds,Clouds,ok
9132,8,Tokyo,Tokyo,ana,,Clouds,Clouds,late
3797,8,Tokyo,Tokyo,ana,,Clouds,Clouds,late
3955,8,Madrid,Madrid,Vueling,,Clouds,Clouds,ok
5559,8,Madrid,Madrid,vueling,,Clouds,Clouds,ok
105,8,NaN,Tokyo,Amakusa Air,,Clouds,Clouds,late
9744,8,Shanghai,Shanghai,China Eastern Airlines,,Clouds,Clouds,ok
3645,8,Shanghai,Shanghai,china eastern airlines,,Clouds,Clouds,ok
6471,8,Shanghai,Shanghai,china eastern airlines,,Clouds,Clouds,ok
5410,8,Shanghai,Shanghai,china eastern airlines,,Clouds,Clouds,ok
6117,8,Istanbul,Copenhagen,Pegasus,,Clouds,Clouds,late
4211,8,Copenhagen,Prague,Eurowings,,Clouds,Clouds,ok
8007,8,Copenhagen,Prague,eurowings,,Clouds,Clouds,ok
102,8,Copenhagen,Copenhagen,Air Alsie,,Clouds,Clouds,ok
402,8,Copenhagen,Copenhagen,air alsie,,Clouds,Clouds,ok
8152,8,Kolkata,Kolkata,SpiceJet,,Clouds,Clouds,late
741,8,Kolkata,Kolkata,Vistara,,Clouds,Clouds,late
4737,8,Kolkata,Kolkata,vistara,,Clouds,Clouds,late
7753,8,Kolkata,Kolkata,vistara,,Clouds,Clouds,late
784,8,Kolkata,Kolkata,AirAsia,,Clouds,Clouds,ok
