id,flightNumber,latitude,fit,longitude,originLatitude,originLongitude,destinationLatitude,destinationLongitude,departure,arrival,scheduledArrival,airline,originCountry,destinationCountry,originWeather,destinationWeather,distance,period,month,day,late_arrival
2d6167e2,UAL954,32.01,0,34.88,37.618969,-122.374001,32.011379,34.886662,2022-09-07T20:19:48-07:00,2022-09-08T19:35:53+03:00,2022-09-08T20:00:00+03:00,UA,US,ISR,Haze,Clear,,regular,9,5,late
2d6167e2,UAL954,32.01,0,34.88,37.618969,-122.374001,32.011379,34.886662,2022-09-07T20:19:48-07:00,2022-09-08T19:35:53+03:00,2022-09-08T20:00:00+03:00,UA,US,ISR,Haze,Clear,,regular,9,5,late
2d626130,TRA5803,32.01,0,34.88,52.308609,4.763889,32.011379,34.886662,2022-09-08T14:46:10+02:00,2022-09-08T19:46:36+03:00,2022-09-08T19:55:00+03:00,HV,NL,ISR,,,,regular,9,5,ok
2d62653a,EJU79GH,33.34,32150,32.91,45.6306,8.728111,32.011379,34.886662,2022-09-08T16:09:10+02:00,2022-09-08T20:23:12+03:00,2022-09-08T19:45:00+03:00,U2,ITA,ISR,,,,regular,9,5,
2d631dfd,UPS267,32,0,34.9,34.875111,33.624851,32.011379,34.886662,2022-09-08T19:03:56+03:00,2022-09-08T19:45:14+03:00,2022-09-08T19:47:00+03:00,5X,CYP,ISR,,,,regular,9,5,ok
2d628506,CYF1323,32.44,11150,34.16,51.289452,6.766775,32.011379,34.886662,2022-09-08T15:04:11+02:00,2022-09-08T20:06:46+03:00,2022-09-08T19:20:00+03:00,U8,DEU,ISR,,,,regular,9,5,
2d626130,TRA5803,32.01,0,34.87,52.308609,4.763889,32.011379,34.886662,2022-09-08T14:46:10+02:00,2022-09-08T19:46:55+03:00,2022-09-08T19:55:00+03:00,HV,NL,ISR,,,,regular,9,5,ok
2d6167e2,UAL954,32.01,0,34.87,37.618969,-122.374001,32.011379,34.886662,2022-09-07T20:19:48-07:00,2022-09-08T19:36:16+03:00,2022-09-08T20:00:00+03:00,UA,US,ISR,Haze,Clear,,regular,9,5,late
2d6298e4,MOONL,32.01,0,34.89,47.464722,8.549167,32.011379,34.886662,2022-09-08T15:30:27+02:00,2022-09-08T19:51:28+03:00,2022-09-08T19:09:00+03:00,,CH,ISR,,,,regular,9,5,late
2d62c8da,WUK4451,32.12,3850,34.67,51.874722,-0.36833,32.011379,34.886662,2022-09-08T15:26:54+01:00,2022-09-08T21:41:46+03:00,2022-09-08T21:05:00+03:00,W6,GBR,ISR,Clouds,Clear,,regular,9,5,
2d62648a,ELY2522,32,0,34.88,50.10083,14.26,32.011379,34.886662,2022-09-08T14:21:46+02:00,2022-09-08T18:39:25+03:00,2022-09-08T18:50:00+03:00,LY,CZE,ISR,,,,regular,9,5,ok
2d62648a,ELY2522,32,0,34.88,50.10083,14.26,32.011379,34.886662,2022-09-08T14:21:46+02:00,2022-09-08T18:39:25+03:00,2022-09-08T18:50:00+03:00,LY,CZE,ISR,Clouds,Clear,,regular,9,5,ok
2d62648a,ELY2522,32,0,34.88,50.10083,14.26,32.011379,34.886662,2022-09-08T14:21:46+02:00,2022-09-08T18:39:25+03:00,2022-09-08T18:50:00+03:00,LY,CZE,ISR,Clouds,Clear,,regular,9,5,ok
2d62cd77,ISR512,32.01,0,34.87,36.405411,28.086189,32.011379,34.886662,2022-09-08T17:58:09+03:00,2022-09-08T19:11:37+03:00,2022-09-08T17:20:00+03:00,6H,GRC,ISR,Clear,Clear,,regular,9,5,heavy late
2d62db41,ELY5204,32.01,0,34.87,41.610271,41.599689,32.011379,34.886662,2022-09-08T18:35:12+04:00,2022-09-08T19:38:17+03:00,2022-09-08T19:25:00+03:00,,GEO,ISR,Clear,Clear,,regular,9,5,ok
2d6298e4,MOONL,32.01,0,34.88,47.464722,8.549167,32.011379,34.886662,2022-09-08T15:30:27+02:00,2022-09-08T19:51:28+03:00,2022-09-08T19:09:00+03:00,,CH,ISR,,,,regular,9,5,late
2d62648a,ELY2522,32,0,34.88,50.10083,14.26,32.011379,34.886662,2022-09-08T14:21:46+02:00,2022-09-08T18:39:25+03:00,2022-09-08T18:50:00+03:00,LY,CZE,ISR,Clouds,Clear,,regular,9,5,ok
2d6298e4,MOONL,32.01,0,34.89,47.464722,8.549167,32.011379,34.886662,2022-09-08T15:30:27+02:00,2022-09-08T19:51:28+03:00,2022-09-08T19:09:00+03:00,,CH,ISR,,,,regular,9,5,late
